# x	y	u	v	mask
224.0000	288.0000	 -0.0646	  0.4549	  0.0000
256.0000	288.0000	 -0.0165	  0.6354	  0.0000
288.0000	288.0000	  0.0077	  0.6574	  0.0000
320.0000	288.0000	  0.0237	  0.7496	  0.0000
352.0000	288.0000	  0.0228	  0.7068	  0.0000
384.0000	288.0000	 -0.0019	  0.3131	  0.0000
416.0000	288.0000	 -0.0022	  0.1398	  0.0000
448.0000	288.0000	 -0.0144	  0.1108	  0.0000
480.0000	288.0000	 -0.0022	  0.0746	  0.0000
 32.0000	256.0000	 -0.0021	 -0.0005	  0.0000
 64.0000	256.0000	  0.0025	 -0.0041	  0.0000
 96.0000	256.0000	  0.0089	  0.0119	  0.0000
128.0000	256.0000	 -0.0020	  0.0911	  0.0000
160.0000	256.0000	 -0.0490	  0.1952	  0.0000
192.0000	256.0000	 -0.0901	  0.2654	  0.0000
224.0000	256.0000	 -0.0260	  0.6550	  0.0000
256.0000	256.0000	 -0.0039	  0.7675	  0.0000
288.0000	256.0000	  0.0121	  0.7042	  0.0000
320.0000	256.0000	  0.0101	  0.6427	  0.0000
352.0000	256.0000	  0.0050	  0.6053	  0.0000
384.0000	256.0000	  0.0020	  0.3001	  0.0000
416.0000	256.0000	 -0.0039	  0.1238	  0.0000
448.0000	256.0000	  0.0057	  0.0959	  0.0000
480.0000	256.0000	 -0.0203	  0.0468	  0.0000
 32.0000	224.0000	 -0.0016	  0.0017	  0.0000
 64.0000	224.0000	  0.0071	  0.0017	  0.0000
 96.0000	224.0000	  0.0214	  0.0254	  0.0000
128.0000	224.0000	  0.0029	  0.0823	  0.0000
160.0000	224.0000	 -0.0425	  0.1553	  0.0000
192.0000	224.0000	 -0.0593	  0.2314	  0.0000
224.0000	224.0000	  0.0175	  0.5246	  0.0000
256.0000	224.0000	  0.0388	  0.6980	  0.0000
288.0000	224.0000	  0.0158	  0.6635	  0.0000
320.0000	224.0000	 -0.0095	  0.5170	  0.0000
352.0000	224.0000	  0.0138	  0.4471	  0.0000
384.0000	224.0000	 -0.0085	  0.2659	  0.0000
416.0000	224.0000	 -0.0234	  0.1163	  0.0000
448.0000	224.0000	 -0.0170	  0.0836	  0.0000
480.0000	224.0000	 -0.0708	  0.0215	  0.0000
 32.0000	192.0000	  0.0002	  0.0006	  0.0000
 64.0000	192.0000	  0.0043	  0.0039	  0.0000
 96.0000	192.0000	  0.0269	  0.0038	  0.0000
128.0000	192.0000	  0.0152	  0.0304	  0.0000
160.0000	192.0000	  0.0076	  0.1340	  0.0000
192.0000	192.0000	  0.0181	  0.3040	  0.0000
224.0000	192.0000	  0.0241	  0.5609	  0.0000
256.0000	192.0000	  0.0090	  0.6885	  0.0000
288.0000	192.0000	 -0.0258	  0.5682	  0.0000
320.0000	192.0000	 -0.0022	  0.3685	  0.0000
352.0000	192.0000	 -0.0238	  0.2613	  0.0000
384.0000	192.0000	 -0.0344	  0.1481	  0.0000
416.0000	192.0000	 -0.0248	  0.0823	  0.0000
448.0000	192.0000	 -0.0179	  0.0587	  0.0000
480.0000	192.0000	  0.0088	 -0.0013	  0.0000
 32.0000	160.0000	 -0.0007	 -0.0003	  0.0000
 64.0000	160.0000	  0.0048	 -0.0016	  0.0000
 96.0000	160.0000	  0.0020	  0.0017	  0.0000
128.0000	160.0000	  0.0164	  0.0355	  0.0000
160.0000	160.0000	  0.0340	  0.0846	  0.0000
192.0000	160.0000	  0.0193	  0.1838	  0.0000
224.0000	160.0000	  0.0117	  0.3736	  0.0000
256.0000	160.0000	 -0.0085	  0.6121	  0.0000
288.0000	160.0000	 -0.0224	  0.5486	  0.0000
320.0000	160.0000	 -0.0034	  0.3843	  0.0000
352.0000	160.0000	 -0.0331	  0.2207	  0.0000
384.0000	160.0000	 -0.0483	  0.0819	  0.0000
416.0000	160.0000	 -0.0350	  0.0175	  0.0000
448.0000	160.0000	 -0.0180	 -0.0020	  0.0000
480.0000	160.0000	 -0.0085	  0.0012	  0.0000
 32.0000	128.0000	  0.0004	  0.0012	  0.0000
 64.0000	128.0000	  0.0075	  0.0013	  0.0000
 96.0000	128.0000	 -0.0098	  0.0552	  0.0000
128.0000	128.0000	 -0.0255	  0.1342	  0.0000
160.0000	128.0000	 -0.0143	  0.1677	  0.0000
192.0000	128.0000	 -0.0049	  0.2389	  0.0000
